UTC,Angle
2015-05-13,35.765
2016-02-01,35.398
2016-02-01,35.398
2016-09-04,35.6
2016-12-15,35.353
2017-01-08,35.354
2017-02-01,35.355
2017-02-25,35.355
2017-03-09,35.357
2017-03-21,35.356
2017-04-02,35.352
2017-04-14,35.352
2017-04-26,35.355
2017-05-08,35.349
2017-05-20,35.35
2017-06-01,35.357
2017-06-13,35.352
2017-06-25,35.357
2017-07-07,35.358
2017-07-19,35.351
2017-07-31,35.353
2017-08-12,35.354
2017-08-24,35.358
2017-09-05,35.36
2017-09-17,35.349
2017-09-29,35.35
2017-10-11,35.353
2017-10-23,35.355
2017-11-04,35.355
2017-11-16,35.356
2017-11-28,35.355
2017-12-10,35.355
2017-12-22,35.356
2018-01-03,35.356
2018-01-15,35.354
2018-01-27,35.356
2018-02-08,35.354
2018-02-20,35.354
2018-03-04,35.357
2018-03-16,35.356
2018-03-28,35.359
2018-04-09,35.356
2018-04-21,35.358
2018-05-03,35.354
2018-05-15,35.356
2018-05-27,35.353
2018-06-08,35.355
2018-06-20,35.357
2018-07-02,35.525
2018-07-14,35.536
2018-07-26,35.529
2018-10-30,35.344
2018-11-11,35.345
2018-11-23,35.349
2018-12-05,35.347
2018-12-17,35.348
2018-12-29,35.348
2019-01-10,35.348
2019-01-22,35.348
2019-02-03,35.346
2019-02-15,35.35
2019-02-27,35.348
2019-03-11,35.349
2019-03-23,35.349
2019-04-04,35.349
2019-04-16,35.346
2019-04-28,35.358
2019-05-10,35.369
2019-05-22,35.364
2019-06-03,35.364
2019-06-15,35.366
2019-06-27,35.365
2019-07-09,35.358
2019-07-21,35.364
2019-08-02,35.366
2019-08-14,35.363
2019-08-26,35.363
2019-09-07,35.358
2019-09-19,35.365
2019-10-01,35.361
2019-10-13,35.37
2019-10-25,35.367
2019-11-06,35.365
2019-11-18,35.357
2019-11-30,35.363
2019-12-12,35.365
2019-12-24,35.367
2020-01-05,35.366
2020-01-17,35.365
2020-01-29,35.801
2020-02-10,35.8
2020-02-22,35.803
2020-03-05,35.805
2020-03-17,35.801
2020-03-29,35.82
2020-04-10,35.838
2020-04-22,35.838
2020-05-04,35.838
2020-05-16,35.843
2020-05-28,35.839
2020-06-09,35.841
2020-06-21,35.842
2020-07-03,35.846
2020-07-15,35.841
2020-07-27,35.836
2020-08-08,35.835
2020-08-20,35.848
2020-09-01,35.84
2020-09-13,35.833
2020-09-25,35.834
2020-10-07,35.835
2020-10-19,35.846
2020-10-31,35.843
2020-11-12,35.841
2020-11-24,35.838
2020-12-06,35.836
2020-12-18,35.835
2020-12-30,35.841
2021-01-11,35.843
2021-01-23,35.843
2021-02-04,35.841
2021-02-16,35.836
2021-02-28,35.838
2021-03-12,35.84
2021-03-24,35.841
2021-04-05,35.841
2021-04-17,35.84
2021-04-29,35.845
2021-05-11,35.835
2021-05-23,35.836
2021-06-04,35.832
2021-06-16,35.838
2021-06-28,35.841
2021-07-10,35.846
2021-07-22,35.842
2021-08-03,35.841
2021-08-15,35.84
2021-08-27,35.836
2021-09-08,35.842
2021-09-20,35.841
2021-10-02,35.818
2021-10-14,35.835
2021-10-26,35.832
2021-11-19,35.838
2021-12-01,35.843
2021-12-13,35.836
2022-02-17,35.361
2022-03-01,35.362
2022-03-13,35.359
2022-03-13,35.359
2022-03-25,35.797
2022-04-06,35.806
2022-04-18,35.802
2022-04-30,35.802
2022-05-12,35.8
2022-05-24,35.807
2022-06-05,35.794
2022-06-17,35.806
2022-07-11,35.801
2022-07-23,35.812
2022-08-04,35.797
2022-08-16,35.8
2022-09-09,35.795
2022-09-21,35.826
2022-10-03,35.798
2022-10-27,35.799
2022-11-08,35.809
2022-11-20,35.797
2022-12-02,35.803
2022-12-14,35.805
2022-12-26,35.807
2023-01-07,35.806
2023-01-19,35.823
2023-01-31,35.8
2023-02-12,35.823
2023-02-24,35.826
2023-03-08,35.811
2023-03-20,35.806
2023-04-01,35.801
2023-04-13,35.796
2023-04-25,35.804
2023-05-07,35.799
2023-06-12,35.803
2023-06-24,35.798
2023-07-06,35.804
2023-07-18,35.803
2023-07-30,35.8
2023-08-11,35.817
2023-08-23,35.803
2023-09-04,35.796
2023-09-16,35.802
2023-09-28,35.802
2023-10-10,35.809
2023-10-22,35.792
2023-11-03,35.805
2023-11-15,35.798
2023-11-27,35.808
2023-12-09,35.801
2023-12-21,35.817
2024-01-02,35.807
2024-01-14,35.804
2024-01-26,35.799
2024-02-07,35.809
2024-02-19,35.801
2024-03-02,35.793
2024-03-14,35.8
2024-03-26,35.813
2024-04-07,35.8
2024-04-19,35.804
2024-05-01,35.803
2024-05-13,35.813
2024-05-25,35.801
2024-06-06,35.813
2024-06-18,35.808
2024-06-30,35.813
2024-07-12,35.81
2024-07-24,35.814
2024-08-05,35.808
2024-08-17,35.806
2024-08-29,35.802
2024-09-10,35.805
2024-09-22,35.801
2024-10-04,35.808
2024-10-16,35.803
2024-10-28,35.801
2024-11-09,35.803
2024-11-21,35.803
2024-12-03,35.806
2024-12-15,35.804
2024-12-27,35.81
2025-01-08,35.808
2025-01-20,35.807
2025-02-01,35.808
2025-02-13,35.805
2025-02-25,35.807
2025-03-09,35.8
2025-03-21,35.792
2025-04-02,35.793
2025-04-14,35.809
2025-04-26,35.793
2025-05-02,35.634
2025-05-08,35.806
2025-05-14,35.635
2025-05-20,35.811
2025-05-26,35.595
2025-06-01,35.809
2025-06-25,35.812
2025-07-07,35.809
2025-07-19,35.809
